ticker,id_share,industry,Index,P/E,EPS (ttm),Insider Own,Perf Week,Forward P/E,EPS next Y,Insider Trans,Perf Month,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,Market Cap_full_count,Income_full_count,Sales_full_count,Shs Outstand_full_count,Shs Float_full_count,Avg Volume_full_count,52_w_range_low,52_w_range_high,Volatility_low_%,Volatility_high_%
AACIU,11,Financial,-,,-0.09,,-1.39,,,,-0.64,,,87.84,0.0,0.02,,,,0.01,,0.04,225.5,,,,,,,,-1.08,,,,,-5.78,,,,,,1.66,0.1,,,,,45.27,No,,,,0.0,10.02,Yes,,-,,9.92,,-0.95,-0.54,-0.19,104.0,-0.98,,,,,13680000.0,51080.0,9.76,10.53,0.44,0.63
AACI,12,Financial,-,,-0.02,25.41,-0.76,,,0.0,0.46,,,6.8,1.07,,,,,3.15,,0.04,223.52,,,,0.03,306.85,,,0.46,,,,,-1.16,,,4.4,,,5.3,0.04,,4.4,,,50.85,No,0.0,,,0.0,9.84,Yes,0.0,-,,9.84,,-0.13,0.34,0.37,3.0,-0.05,214800000.0,-500000.0,,21840000.0,17410000.0,59190.0,9.34,9.95,0.08,0.29
AADI,13,Healthcare,-,,-11.63,0.1,3.56,,52.6,0.0,-20.02,,-0.98,53.0,4.99,-11.35,4107.31,82.3,-2.44,2.87,-38.4,15.87,1.21,-134.9,48.75,-36.25,7.55,2.54,,-147.0,-20.41,,,30.9,-14.7,-61.41,1.54,,14.0,,,34.3,1.52,12.0,14.0,,,44.97,Yes,0.04,-705.0,,0.41,20.49,Yes,0.04,-,,19.22,1.6,-3.25,-12.39,-26.44,89650.0,-6.2,410730000.0,-98800000.0,100000.0,20890000.0,12380000.0,214970.0,14.31,49.8,7.61,7.95
AACG,14,Consumer Defensive,-,,-0.41,18.7,6.49,,-14.1,0.0,-28.38,,-0.27,17.5,0.25,-25.45,1.7,40.0,,0.11,-41.43,0.96,1.71,-17.5,32.5,-70.82,0.38,4.3,25.0,-49.2,53.2,,,-36.6,-48.2,-75.52,1.37,,0.3,-17.2,46.6,64.0,0.25,580.0,0.3,31.0,-53.2,49.06,No,0.0,-61.5,-50.5,0.11,1.59,Yes,0.0,Nov 10 AMC,,1.64,1.5,-2.93,3.22,-32.56,71038.0,3.14,50770000.0,-15100000.0,29900000.0,31190000.0,29640000.0,660340.0,1.0,6.7,8.43,10.05
AAT,15,Real Estate,-,91.04,0.39,0.8,-0.03,43.65,111.84,181.47,-8.37,30.35,0.12,98.5,1.23,-10.63,5.98,-45.3,-0.02,2.9,-8.18,20.75,1.69,0.8,39.1,15.97,2.84,12.37,3.0,1.8,-6.37,1.2,,-11.7,3.3,-13.94,1.22,3.41,,4.6,65.0,21.68,0.95,203.0,,16.5,24.3,40.64,Yes,1.32,99.0,6.5,0.78,35.61,Yes,1.32,Feb 08 AMC,287.8,35.14,2.8,-2.82,-3.26,-5.87,218417.0,-1.32,2130000000000.0,23100000.0,355400000.0,59990000.0,59500000.0,253010.0,28.88,40.83,2.36,2.76
ABIO,16,Healthcare,-,,-1.54,0.4,11.96,,,,-1.44,,,10.7,2.25,-17.27,,50.2,0.33,1.44,-31.1,3.93,0.52,-30.6,,-61.13,4.09,0.5,,-32.6,-4.19,,,42.5,,-62.55,2.45,,18.8,,,20.47,0.11,11.0,18.8,,,55.43,Yes,0.0,0.7,,0.4,1.97,Yes,0.0,Nov 02 AMC,,2.06,,7.25,-3.05,-27.27,90606.0,4.57,29350000.0,-18800000.0,,14410000.0,14300000.0,222480.0,1.71,5.5,4.65,5.52
AAIC,17,Real Estate,-,,-0.15,3.4,1.46,13.88,13.12,4.39,-3.88,,0.06,34.9,0.78,-8.92,5.41,-743.4,-0.14,1.79,-9.4,5.91,0.59,-0.5,4.62,-6.72,0.67,5.15,-9.37,-2.4,-0.86,,22.3,7.9,,-21.49,1.69,,,,53.1,6.77,0.08,12.0,,-46.8,,50.35,Yes,3.43,-126.4,-23.8,0.78,3.42,Yes,0.49,Nov 09 AMC,,3.47,2.7,0.71,-1.45,-8.6,111476.0,1.46,109270000.0,-4800000.0,20200000.0,31930000.0,30420000.0,133470.0,3.25,4.42,2.61,2.57
ABGI,18,Financial,-,,-0.1,3.22,0.0,,,0.0,-0.72,,,78.6,0.02,-0.15,,,-0.08,0.05,-1.97,7.56,1.29,,,,0.03,311.85,,,-0.61,,,,,-9.07,,,4.3,,,1.14,0.02,,4.3,,,44.66,No,0.0,,,6.02,9.74,Yes,0.0,-,,9.72,,-0.15,-0.46,-1.05,340560.0,-0.21,187110000.0,,,19330000.0,15060000.0,64640.0,9.61,10.69,0.12,0.1
ABMD,19,Healthcare,S&P 500,106.08,2.9,1.4,5.71,66.52,5.87,-6.84,-3.76,18.16,1.09,92.6,2.58,-13.63,13.69,11.4,0.0,3.18,-4.67,30.47,10.08,10.4,365.0,-4.9,14.55,21.1,5.84,11.7,-14.49,,55.43,42.2,12.5,-19.03,1.35,,6.9,20.8,81.8,17.54,15.02,1725.0,7.6,18.3,14.6,49.82,Yes,0.0,-8.9,15.4,0.77,315.92,Yes,0.0,Feb 03 BMO,0.0,307.11,2.5,2.51,-3.13,-5.47,279025.0,-2.79,13730000000000.0,133000000.0,1000000000000.0,45440000.0,44540000.0,361530.0,261.27,379.3,4.82,4.73
ABNB,20,Consumer Cyclical,-,,-7.23,3.9,14.96,177.63,251.6,-15.57,1.98,,0.03,59.6,4.48,-10.55,19.46,-566.2,0.68,2.49,13.76,7.16,24.02,-33.1,192.91,-20.7,13.16,13.07,,-123.5,3.28,,63.09,,-74.2,-21.82,,,1.9,29.7,62.0,32.56,8.76,5597.0,1.9,66.7,-58.7,61.19,Yes,0.45,232.4,-80.7,1.36,169.53,Yes,0.45,Feb 15 AMC,,171.95,2.4,11.05,5.22,7.5,8261379.0,1.43,103530000000000.0,-4294399999.9999995,5320000000000.0,621010000.0,336290000.0,6040000.0,129.71,219.94,4.89,5.24
ABG,21,Consumer Cyclical,-,6.55,24.82,0.69,-0.83,5.5,14.74,0.0,-7.87,0.35,6.06,92.2,8.53,-11.19,0.43,38.0,2.35,4.55,-18.25,67.42,2.41,13.4,238.75,2.22,13.3,12.23,18.5,44.2,-5.82,,4.13,15.5,11.2,-29.57,1.53,,1.1,1.6,18.4,11.09,7.68,7600.0,1.7,30.4,7.5,49.13,Yes,1.16,52.0,5.1,0.84,164.76,Yes,1.02,Feb 15 BMO,0.0,162.67,2.2,0.34,-2.28,-11.54,371961.0,-1.27,4040000000000.0,481000000.0,9420000000000.0,19300000.0,16050000.0,301030.0,146.43,230.96,4.61,4.95
ABEV,22,Consumer Defensive,-,14.79,0.19,,3.69,21.62,-13.3,,6.04,1.87,0.04,8.95,0.65,-8.93,0.64,7.1,,1.32,-7.18,5.51,0.51,,3.5,2.33,,,7.9,,0.36,0.11,,39.83,,-26.69,,3.91,,,,21.61,0.08,50000.0,,18.5,,57.04,Yes,,56.2,,1.4,2.78,Yes,,-,,2.81,3.0,2.91,3.43,-6.04,30576000.0,1.08,44230000000000.0,,69400000000000.01,15740000000000.0,4400000000000.0,21700000.0,2.31,3.83,2.34,2.62
ABCM,23,Healthcare,-,174.24,0.1,,-2.16,,,,-13.75,,,10.9,0.1,-23.6,9.87,-72.7,6.77,1.07,-15.57,3.9,4.42,1.8,22.67,-24.9,,,,2.6,-26.75,,116.43,,2.0,-29.25,,,4.8,,71.1,8.97,0.64,1650.0,5.6,18.3,3.5,37.46,No,0.19,-60.7,4.2,0.61,17.6,Yes,0.17,-,0.0,17.25,2.0,-1.99,-15.66,-15.9,115727.0,-1.99,3990000000000.0,22000000.0,404700000.0,219600000.0,195150000.0,189970.0,15.83,24.38,2.49,3.16
ABEQ,24,Financial,-,,,,0.4,,,,-1.71,,,,,-0.08,,,,,1.66,,,,,9.36,,,,,-0.05,0.14,,,,-2.22,,0.49,,,,12.74,0.29,,,,,51.59,No,,,,2.0,28.7,Yes,,-,,28.43,,0.08,0.98,2.22,10586.0,-0.94,,,,,,5410.0,25.22,29.08,0.59,0.91
ABM,25,Industrials,-,21.9,1.86,1.2,-1.5,10.76,10.83,-0.48,-5.48,1.37,0.83,98.1,2.3,-15.38,0.45,-4.7,0.06,3.29,-14.04,23.77,1.71,3.2,56.75,-0.05,0.91,44.62,16.0,7.9,-0.34,0.78,12.24,11.1,6.1,-26.62,1.25,1.92,1.1,3.9,15.6,5.91,1.26,124000.0,1.1,14.2,3.3,43.59,Yes,0.55,-35.5,2.0,0.75,41.78,Yes,0.53,Dec 15 BMO,40.2,40.71,2.0,-3.17,-4.26,-11.58,348561.0,-2.56,2800000000000.0,126300000.0,6230000000000.0,67700000.0,66360000.0,465410.0,38.44,55.48,2.39,3.15
ABEO,26,Healthcare,-,,-0.57,1.5,8.73,,33.3,-10.27,-13.31,,-0.15,28.7,5.89,-71.58,8.71,40.0,10.73,1.45,-78.69,0.81,0.33,-39.9,3.0,-92.07,0.68,0.39,,-60.0,-20.95,,,-11.5,-78.1,-92.9,1.33,,2.6,57.3,,29.45,0.03,76.0,2.6,,,43.83,Yes,0.0,6.9,,0.57,0.27,Yes,0.0,-,,0.27,2.3,5.03,-26.94,-74.63,1974705.0,0.19,26120000.0,-54100000.0,3000000.0,97990000.0,86020000.0,3490000.0,0.21,3.75,7.9,10.87
ABCB,27,Financial,-,9.38,5.41,0.5,4.49,10.39,6.13,-0.49,-5.88,1.17,1.08,92.8,3.01,-7.63,4.98,37.0,0.12,4.59,-0.57,41.77,1.21,2.0,59.71,11.04,54.78,0.93,8.0,15.2,2.05,0.6,5.26,24.3,11.3,-15.29,1.25,1.18,,30.7,,13.47,1.75,2671.0,,-3.8,92.4,50.24,Yes,0.17,-30.1,60.3,1.19,51.19,Yes,0.17,Jan 27 AMC,9.8,50.7,2.1,-0.71,0.51,-1.36,582898.0,-0.96,3500000000000.0,376900000.0,703100000.0,69440000.0,66000000.0,432360.0,44.68,59.85,2.71,3.77
ABC,28,Healthcare,S&P 500,18.38,7.7,0.2,2.65,12.25,7.22,-47.14,3.73,1.78,2.9,65.0,1.13,12.62,0.14,144.4,0.03,1.62,17.91,1.16,122.02,3.0,153.5,35.41,16.78,8.43,10.34,,6.51,1.84,16.62,3.2,24.3,-1.41,0.47,1.3,0.6,7.8,3.3,40.54,3.43,42000.0,0.9,13.5,1.1,65.78,Yes,27.67,17.3,0.7,1.28,142.92,Yes,26.55,Feb 02 BMO,22.8,141.54,2.2,4.42,8.83,15.48,1359203.0,-0.97,29880000000000.0,1610000000000.0,221100000000000.0,208560000.0,149710000.0,1050000.0,100.71,143.56,2.52,2.49
ABCL,29,Healthcare,-,13.43,0.71,21.0,2.78,,-116.0,0.11,-20.4,1.34,0.19,43.9,6.2,-32.11,6.12,11.1,0.77,5.77,-36.8,3.42,2.81,18.9,38.88,-79.13,1.83,5.24,10.0,22.7,-32.87,,12.8,,13.6,-81.9,,,16.2,,,29.38,0.69,206.0,16.2,-78.2,63.9,43.18,Yes,0.0,,47.4,2.48,9.68,Yes,0.0,Feb 24 AMC,0.0,9.6,1.7,3.71,-20.37,-46.44,5188978.0,-0.83,2710000000000.0,210500000.0,443800000.0,278930000.0,196400000.0,2110000.0,7.42,53.03,5.02,7.24
ABBV,30,Healthcare,S&P 500,33.97,4.2,0.1,1.41,11.78,-13.93,-22.68,4.19,8.34,3.18,68.2,0.91,22.24,4.58,-48.5,-0.14,2.27,23.41,7.66,18.63,4.4,146.71,37.55,6.92,20.61,4.08,49.9,5.4,5.64,23.51,-2.8,12.7,-0.88,0.8,3.95,0.9,14.9,67.9,39.84,2.79,50000.0,1.0,11.2,28.2,70.13,Yes,5.96,37.6,12.0,1.04,143.2,Yes,5.46,Feb 02 BMO,133.0,142.71,2.0,4.16,7.82,20.38,7333409.0,-0.34,252440000000000.0,7460000000000.0,55170000000000.0,1770000000000.0,1770000000000.0,7110000.0,102.05,143.98,1.68,2.09
ABB,31,Industrials,-,15.26,2.31,,2.62,19.5,14.46,,-5.96,1.05,0.28,6.1,0.12,1.62,2.54,-71.6,0.46,1.36,-6.21,6.97,5.05,14.2,40.79,20.27,2.19,16.1,14.6,39.9,-7.81,0.87,73.8,-30.7,4.4,-10.02,1.1,2.47,0.8,-5.9,33.0,22.98,0.83,105600.0,1.1,6.8,8.2,45.99,Yes,0.48,235.2,19.7,1.36,35.81,Yes,0.31,Feb 03 BMO,30.3,35.19,2.2,-1.56,-3.71,-0.55,2274779.0,-1.73,73430000000000.0,4630000000000.0,28950000000000.0,2000000000000.0,1920000000000.0,1700000.0,28.61,39.11,1.25,1.74
AB,32,Financial,-,13.96,3.53,5.02,7.62,12.57,8.71,0.0,-3.58,,1.0,14.0,1.02,-10.56,12.45,15.9,2.38,2.76,-1.46,15.57,3.17,22.1,57.1,27.34,0.0,,-3.88,22.2,0.9,3.58,,9.3,17.4,-14.36,1.42,7.26,,8.0,,39.01,1.89,3929.0,,29.8,100.0,54.96,Yes,0.0,28.3,92.2,1.27,49.5,Yes,0.0,Feb 11 BMO,95.7,49.28,2.3,2.8,1.29,0.48,439993.0,-0.44,4780000000000.0,353900000.0,383700000.0,99410000.0,93800000.0,347960.0,35.45,57.54,3.51,3.99
AAXJ,33,Financial,-,,,,2.0,,,,-1.94,,,,,-3.92,,,,,-5.96,,,,,-18.68,,,,,-0.01,0.9,,,,-19.28,,1.09,,,,6.19,1.23,,,,,52.47,Yes,,,,0.94,83.32,Yes,,-,,82.69,,0.67,0.08,-5.71,1180913.0,-0.76,,,,,,1200000.0,77.87,102.44,1.09,1.29
AAU,34,Basic Materials,-,,-0.03,7.2,23.14,,,0.0,30.44,,,5.0,0.57,-11.0,,20.8,-0.64,1.33,-9.8,0.47,0.79,-5.0,1.0,-59.58,0.07,5.27,,-5.3,23.47,,,-11.3,,-63.75,0.91,,24.3,,,36.96,0.02,9.0,24.3,,,70.48,Yes,0.04,-396.7,,1.18,0.34,Yes,0.04,-,,0.37,,24.28,22.68,-9.41,685832.0,8.22,46880000.0,-3300000.0,,137220000.0,131630000.0,565840.0,0.27,1.02,7.58,5.82
AAWW,35,Industrials,-,4.58,17.07,0.4,-2.03,5.86,-24.01,-39.03,-10.34,0.46,6.14,,15.4,-6.57,0.62,218.9,0.53,7.15,5.15,90.42,0.87,8.2,105.57,44.07,,,10.0,20.5,-16.85,,3.2,115.4,7.8,-19.43,1.16,,0.8,12.0,57.0,46.66,3.15,4061.0,0.8,25.5,16.9,42.15,Yes,0.9,40.7,13.2,0.88,80.39,Yes,0.64,Feb 17 BMO,0.0,78.26,2.1,-1.82,-8.46,0.4,514547.0,-2.65,2360000000000.0,500500000.0,3800000000000.0,29020000.0,27200000.0,586030.0,53.36,97.13,3.54,3.89
AATC,36,Technology,-,14.11,0.54,9.5,10.54,,,0.4,19.09,0.71,,29.0,0.75,8.63,3.1,-84.9,-0.26,1.14,14.57,3.87,1.95,10.8,,47.17,1.58,4.76,20.0,11.6,20.03,0.48,22.23,21.2,5.3,-34.8,1.03,6.36,12.4,-2.8,78.4,85.79,0.27,46.0,13.2,11.8,18.1,74.87,No,0.0,396.5,17.8,1.14,7.35,Yes,0.0,-,0.0,7.55,,17.15,17.04,8.25,24032.0,2.72,40020000.0,2900000.0,12900000.0,5340000.0,3120000.0,20740.0,4.06,11.58,4.35,4.2
AAAU,37,Financial,-,,,,1.23,,,,0.17,,,,,-1.36,,,,,4.1,,,,,-0.06,,,,,-0.11,,,,,-4.42,,,,,,8.81,0.14,,,,,55.17,No,,,,0.86,18.21,Yes,,-,,18.16,,0.43,1.25,1.11,390673.0,-0.27,,,,,,452600.0,16.69,19.0,0.61,0.67
AAC,38,Financial,-,43.53,0.22,,-0.1,,,,-0.2,,,67.7,0.14,-1.02,,,0.15,0.51,0.62,7.48,1.3,,,,0.01,1355.57,,,0.1,,,,,-2.5,,,1.7,,,2.63,0.03,,1.7,,,50.51,No,0.0,,,0.17,9.75,Yes,0.0,-,,9.75,,0.11,-0.09,-0.21,48473.0,0.0,1220000000000.0,,,125000000.0,100000000.0,272550.0,9.5,10.0,0.3,0.27
A,39,Healthcare,S&P 500,35.97,3.94,0.2,-0.09,26.77,10.16,-18.65,-3.4,2.57,1.11,90.6,,-11.06,6.8,71.0,0.26,3.07,-10.43,17.9,7.91,11.7,175.32,11.58,5.19,27.29,14.0,24.3,-11.27,0.84,40.51,22.9,14.7,-21.11,1.04,0.59,1.7,8.5,53.9,25.95,4.04,17000.0,2.2,11.9,21.3,47.31,Yes,0.51,102.3,19.1,0.6,144.44,Yes,0.51,Feb 22 AMC,19.1,141.66,,0.98,-4.32,-6.72,1063719.0,-1.92,42980000000000.0,1210000000000.0,6320000000000.0,301000000.0,,1710000.0,112.47,179.57,2.12,2.72
AA,40,Basic Materials,-,32.28,2.21,0.7,13.44,10.15,-4.97,-29.31,14.42,,2.35,77.7,5.18,54.15,1.07,85.0,0.31,1.2,57.63,20.74,3.43,3.0,66.3,232.73,7.94,8.96,,12.1,19.45,0.4,,28.0,5.0,-1.66,2.4,0.56,0.9,-3.7,24.7,239.55,3.7,12900.0,1.5,31.5,8.1,70.8,Yes,0.44,769.8,3.5,1.26,71.91,Yes,0.44,Jan 19 AMC,0.0,71.17,1.9,16.38,25.1,53.94,11437736.0,-1.03,13010000000000.0,429000000.0,12150000000000.0,187000000.0,186960000.0,8090000.0,20.96,72.37,6.03,5.92
ACABU,41,Financial,-,,,,0.1,,,,,,,,,,,,,0.0,,0.0,2500.0,,,,,,,,0.0,,,,,-0.4,,,,,,0.2,0.01,,,,,,No,,,,0.0,10.0,Yes,,-,,10.0,,0.06,0.06,0.06,5.0,0.0,,,,,,1850000.0,9.98,10.04,0.07,
ABVC,42,Healthcare,-,,-0.43,79.2,0.81,,,0.0,-29.38,,-0.04,0.8,1.31,-24.01,140.85,-138.6,,0.24,-7.75,0.32,7.81,-89.8,9.5,-49.49,0.13,18.53,,-243.2,-26.25,,,13.4,-114.2,-91.65,0.5,,2.1,,99.1,28.21,0.18,34.0,2.1,0.0,,33.87,No,0.2,29.1,,0.08,2.49,Yes,0.01,-,,2.5,,-9.49,-20.47,-32.33,27460.0,0.4,70430000.0,-9800000.0,500000.0,26880000.0,5950000.0,325900.0,1.95,29.95,5.35,6.28
ABT,43,Healthcare,S&P 500,32.31,3.95,0.2,-1.81,24.74,6.39,-14.41,-5.85,2.45,1.48,75.7,0.51,-0.05,5.26,24.5,0.46,1.49,4.03,19.4,6.59,8.7,143.72,0.73,5.46,23.38,13.18,19.0,-9.22,1.88,39.34,7.8,9.7,-10.41,0.73,1.47,1.4,11.1,57.0,21.26,2.85,109000.0,1.8,23.4,17.4,46.76,Yes,0.53,70.3,14.8,0.95,130.49,Yes,0.51,Jan 26 BMO,45.1,127.76,2.0,0.62,-3.17,3.46,5917727.0,-2.09,226610000000000.0,7070000000000.0,43080000000000.0,1770000000000.0,1760000000000.0,6040000.0,105.36,142.6,1.58,2.23
AC,44,Financial,-,8.38,4.54,1.55,-4.76,,,1.99,-16.45,,,72.5,0.67,-2.98,43.29,-52.3,-0.04,2.78,2.81,42.2,0.9,8.4,,7.37,26.49,1.44,,11.4,-11.53,0.2,,187.7,,-19.92,1.17,0.53,,-3.6,,17.41,2.28,25.0,,10.5,,34.67,No,0.01,-74.4,,1.53,41.0,Yes,0.0,-,4.2,38.04,,-12.48,-10.71,-2.08,11225.0,-7.22,818240000.0,100900000.0,18900000.0,22080000.0,3050000.0,7310.0,32.4,47.5,7.83,5.0
ACA,45,Industrials,-,29.99,1.46,0.88,-2.63,22.98,9.83,0.0,-13.75,7.31,0.21,94.3,1.97,-21.45,1.09,-5.9,0.5,4.25,-14.68,40.27,1.08,2.4,66.43,-31.31,1.35,32.45,4.1,3.7,-17.15,0.2,152.13,-4.7,5.6,-36.23,0.46,0.46,1.2,-2.0,18.3,0.39,1.77,6410.0,2.1,14.1,5.5,33.87,Yes,0.39,-23.7,3.6,1.06,45.61,Yes,0.38,Feb 23 AMC,13.6,43.66,1.7,-8.3,-13.94,-19.24,233351.0,-4.28,2150000000000.0,70800000.0,1970000000000.0,48200000.0,47910000.0,222400.0,43.49,68.46,2.95,4.09
